mrl_key,processor,mr,mr_ln_no,jcn,techwrt,nomenclature,cog,fsc,niin,part_no,qty,ui,market_research_up,market_research_ep,avail_typ,request_date,rdd,pri,swilin,hull_or_shop,suggested_source,mfg_cage,apl,nha_equipment_system,nha_model,nha_serial,techmanual,dwg_pc,requestor_remarks,gss_avail,nsn,gss_qty_avail,gss_aac,gss_avail_date,gss_notes,qty2,gss_up,gss_ep,sourcing_analyst,source,part_no2,nomenclature,date_received,validity,lead_time,quote_notes,qty3,quote_ui,up2,ep2,source2,part_no3,nomenclature2,date_received2,validity2,lead_time2,quote_notes2,qty4,quote_ui2,up3,ep3,source3,part_no4,nomenclature3,date_received3,validity3,lead_time3,quote_notes3,qty5,quote_ui3,up4,ep4,source4,part_no5,nomenclature4,date_received4,validity4,lead_time4,quote_notes4,qty6,quote_ui4,up5,ep5,source5,part_no6,nomenclature5,date_received5,validity6,lead_time5,quote_notes5,qty7,quote_ui5,up6,ep6,source6,part_no7,nomenclature6,date_received6,validity7,lead_time6,quote_notes6,qty8,quote_ui6,up7,ep7,quotes_received2,selected_source,selected_part_no,selected_nomenclature,selected_qty,quoted_ui,lowest_up,lowest_ep,quote_notes7,lowest_count,tech_edit_id,pa_submission_date,analyst_pa_remarks,reqnum,awarded_source,awarded_part_no,awarded_nomenclature,awarded_qty,awarded_unit_of_issue,awarded_up,awared_ep,pri_change_2,purchasing_analyst2,purchased_vendor,purchased_part_no,purchased_nomenclature,purchased_qty,purchased_unit_of_issue,up8,ep8,diff_up,diff_ep,do_folder,jin,order_date,reqnum_rb,award_date,order_id,suffix,order_ln_no,edd_to_ches,rec_vse_dt,lot_id,triwall,status,shipdoc_tcn,vse_ship_no,booking,vessel,container,sail_dt,edd_to_egypt,egypt_lsc_arr_dt,analyst_remarks,source_name,ERRORS,original_line
MR20145-EG9,nan,MR20145-EG,9,CON-0068,L20RDB0020,Spray Blue Layout Fluid,nan,nan,nan,2131A64,1,EA,nan,0.0,Consumable,2020-07-17,2020-09-20,6,nan,nan,MCMASTER-CARR SUPPLY,39429,nan,nan,nan,nan,nan,nan,C,nan,nan,nan,nan,nan,nan,nan,nan,0,SN,MCMASTER-CARR SUPPLY,2131A64,nan,44799.0,44829.0,Today,nan,1.0,nan,17.67,17.67,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,MCMASTER-CARR SUPPLY,nan,nan,nan,nan,17.670000000000002,17.670000000000002,nan,3,TBD,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,6,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,nan,980FMC3318,nan,FUNDING,nan,FUNDING,nan,nan,nan,nan,nan,nan,CANX FROM EW-ORDERED BY NAVSUP-PER BI-WEEKLY EMR,nan,nan,nan,nan,nan,nan,nan,nan,nan,NEW_DO 980 Phase2.xlsx,None,2
MR20145-EG10,nan,MR20145-EG,10,CON-0068,L20RDB0025,"Standard Twist Wire Wheel, 4"" Dia X 1/2""-3/8"" A.H. (ST-4), 0.0118"" S.S. Wire, Penumatic",nan,nan,nan,4855A15,1,EA,nan,0.0,Consumable,2020-07-17,2020-09-20,6,nan,nan,MCMASTER-CARR SUPPLY,39429,nan,nan,nan,nan,nan,nan,C,nan,nan,nan,nan,nan,nan,nan,nan,0,SN,MCMASTER-CARR SUPPLY,4855A15,nan,44799.0,44829.0,Today,nan,1.0,nan,61.53,61.53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,MCMASTER-CARR SUPPLY,nan,nan,nan,nan,61.53,61.53,nan,3,TBD,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,6,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,nan,980FMC3319,nan,FUNDING,nan,FUNDING,nan,nan,nan,nan,nan,nan,CANX FROM EW-ORDERED BY NAVSUP-PER BI-WEEKLY EMR,nan,nan,nan,nan,nan,nan,nan,nan,nan,NEW_DO 980 Phase2.xlsx,None,3
MR20145-EG11,nan,MR20145-EG,11,CON-0068,L20RDB0022,"Stainless steel Shank-Mounted Knot Wire End Brushe, Type 302 (Threaded)",nan,nan,nan,4863A43,1,EA,nan,0.0,Consumable,2020-07-17,2020-09-20,6,nan,nan,MCMASTER-CARR SUPPLY,39429,nan,nan,nan,nan,nan,nan,C,nan,nan,nan,nan,nan,nan,nan,nan,0,SN,MCMASTER-CARR SUPPLY,4863A43,nan,44799.0,44829.0,Today,nan,1.0,nan,42.31,42.31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,MCMASTER-CARR SUPPLY,nan,nan,nan,nan,42.31,42.31,nan,3,TBD,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,6,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,nan,980FMC3320,nan,FUNDING,nan,FUNDING,nan,nan,nan,nan,nan,nan,CANX FROM EW-ORDERED BY NAVSUP-PER BI-WEEKLY EMR,nan,nan,nan,nan,nan,nan,nan,nan,nan,NEW_DO 980 Phase2.xlsx,None,4
MR20145-EG12,nan,MR20145-EG,12,CON-0068,L20RDB0021,"Stainless Steel Crimped Wire wheel, Type 302 (Unthreaded)",nan,nan,nan,4911A16,4,CN,nan,0.0,Consumable,2020-07-17,2020-09-20,6,nan,nan,MCMASTER-CARR SUPPLY,39429,nan,nan,nan,nan,nan,nan,C,nan,nan,nan,nan,nan,nan,nan,nan,0,SN,MCMASTER-CARR SUPPLY,4911A16,nan,44799.0,44829.0,Today,nan,4.0,nan,20.82,83.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,MCMASTER-CARR SUPPLY,nan,nan,nan,nan,20.82,83.28,nan,3,TBD,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,6,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,nan,980FMC3321,nan,FUNDING,nan,FUNDING,nan,nan,nan,nan,nan,nan,CANX FROM EW-ORDERED BY NAVSUP-PER BI-WEEKLY EMR,nan,nan,nan,nan,nan,nan,nan,nan,nan,NEW_DO 980 Phase2.xlsx,None,5
MR20145-EG58,nan,MR20145-EG,58,682-0445,K19SHB2819,HANGER ADHESIVE TUFF BOND,nan,nan,nan,INSULATION HANGER ADHESIVE,7,QT,64.04,448.28000000000003,DPMA,2022-04-09,2022-06-10,5,682-50811-001,682.0,"SOURCE: SPECIALTY PRODUCTS AND INSULATION CO., TEL: 843-824-0979",nan,NIC,NIC,NIC,nan,NIC,NIC,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,Error,nan,nan,nan,nan,Error,Error,nan,4,TBD,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,5,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,nan,980FMC3356,nan,FUNDING,nan,FUNDING,nan,nan,nan,nan,nan,nan,CANX FROM EW-ORDERED BY NAVSUP-PER BI-WEEKLY EMR,nan,nan,nan,nan,nan,nan,nan,nan,nan,NEW_DO 980 Phase2.xlsx,None,6
MR20145-EG59,nan,MR20145-EG,59,682-0449,K19SHB2836,HANGER ADHESIVE TUFF BOND,nan,nan,nan,INSULATION HANGER ADHESIVE,22,QT,64.04,1408.88,DPMA,2022-04-09,2022-06-10,5,682-50812-001,682.0,"SOURCE: SPECIALTY PRODUCTS AND INSULATION CO., TEL: 843-824-0979",nan,NIC,NIC,NIC,nan,NIC,NIC,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,Error,nan,nan,nan,nan,Error,Error,nan,4,TBD,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,5,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,nan,980FMC3357,nan,FUNDING,nan,FUNDING,nan,nan,nan,nan,nan,nan,CANX FROM EW-ORDERED BY NAVSUP-PER BI-WEEKLY EMR,nan,nan,nan,nan,nan,nan,nan,nan,nan,NEW_DO 980 Phase2.xlsx,None,7
MR20145-EG60,nan,MR20145-EG,60,682-0572,EGLP20MK00093,"Hose, Flexible, Tygon Tubing, 1"" OD, 1/8""Thick, Cloth Impregnated",nan,nan,nan,55425K35,50,Meter,232.06,11603.0,DPMA,2022-04-09,2022-06-10,5,682-52400-001,682.0,MCMASTER-CARR SUPPLY,39428,NIC,NIC,NIC,nan,NIC,NIC,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,SN,MCMASTER-CARR SUPPLY,6534T65,nan,44799.0,44829.0,44871,nan,165.0,nan,12.45,2054.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,1,MCMASTER-CARR SUPPLY,nan,nan,nan,nan,12.45,2054.25,nan,3,TBD,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,5,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,nan,980FMC3358,nan,FUNDING,nan,FUNDING,nan,nan,nan,nan,nan,nan,CANX FROM EW-ORDERED BY NAVSUP-PER BI-WEEKLY EMR,nan,nan,nan,nan,nan,nan,nan,nan,nan,NEW_DO 980 Phase2.xlsx,None,8
MR20145-EG66,nan,MR20145-EG,66,682-5001357,K21HHB0191,Male Valve Coupling with Quick Disconnect (Rising Stem) For 3/4 Inch Rigid Rod,9B,4820.0,16103869.0,12138-501,1,EA,516.2,516.2,DPMA,2022-04-09,2022-06-10,5,682-52100-004,682.0,"ELLIOTT MANUFACTURING CO., LLC",72166,NIC,NIC,NIC,nan,NIC,NIC,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,Error,nan,nan,nan,nan,Error,Error,nan,4,TBD,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,5,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,nan,980FMC3364,nan,FUNDING,nan,FUNDING,nan,nan,nan,nan,nan,nan,CANX FROM EW-ORDERED BY NAVSUP-PER BI-WEEKLY EMR,nan,nan,nan,nan,nan,nan,nan,nan,nan,NEW_DO 980 Phase2.xlsx,None,9
MR20145-EG67,nan,MR20145-EG,67,682-0407,EGLP21MK00297,"Metal packaging machine A4, type pouch laminator or equivalent",nan,nan,nan,NIC+D4845D49D1178:D4928,1,EA,65.0,65.0,DPMA,2022-04-09,2022-06-10,5,682-86410-001,682.0,SAFWATEC GROUP- EGYPT,nan,NIC,NIC,NIC,nan,NIC,NIC,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,Error,nan,nan,nan,nan,Error,Error,nan,4,TBD,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,5,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,nan,980FMC3365,nan,FUNDING,nan,FUNDING,nan,nan,nan,nan,nan,nan,CANX FROM EW-ORDERED BY NAVSUP-PER BI-WEEKLY EMR,nan,nan,nan,nan,nan,nan,nan,nan,nan,NEW_DO 980 Phase2.xlsx,None,10
MR20145-EG74,nan,MR20145-EG,74,682-5001357,K21HHB0188,"NUT,PLAIN,HEXAGON",9B,5310.0,7680321.0,MS51971-5,8,EA,0.8,6.4,DPMA,2022-04-09,2022-06-10,5,682-52100-004,682.0,MILITARY STANDARDS,96906,NIC,NIC,NIC,nan,NIC,NIC,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,SN,AEROBASE GROUP,MS51971-5,nan,44816.0,44846.0,7-10 DAYS,nan,8.0,nan,86.5,692.0,PART TARGET,MS51971-5,nan,44816.0,44846.0,3-5 DAYS,nan,100.0,nan,17.59,1759.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,2,AEROBASE GROUP,nan,nan,nan,nan,86.5,692,nan,2,TBD,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,5,nan,nan,nan,nan,nan,nan,nan,0,0.0,0.0,nan,980FMC3372,nan,FUNDING,nan,FUNDING,nan,nan,nan,nan,nan,nan,CANX FROM EW-ORDERED BY NAVSUP-PER BI-WEEKLY EMR,nan,nan,nan,nan,nan,nan,nan,nan,nan,NEW_DO 980 Phase2.xlsx,None,11
