mrl_key,processor,mr,mr_ln_no,jcn,techwrt,nomenclature,cog,fsc,niin,part_no,qty,ui,market_research_up,market_research_ep,avail_typ,request_date,rdd,pri,swilin,hull_or_shop,suggested_source,mfg_cage,apl,nha_equipment_system,nha_model,nha_serial,techmanual,dwg_pc,requestor_remarks,gss_avail,nsn,gss_qty_avail,gss_aac,gss_avail_date,gss_notes,qty2,gss_up,gss_ep,sourcing_analyst,source,part_no2,nomenclature,date_received,validity,lead_time,quote_notes,qty3,quote_ui,up2,ep2,source2,part_no3,nomenclature2,date_received2,validity2,lead_time2,quote_notes2,qty4,quote_ui2,up3,ep3,source3,part_no4,nomenclature3,date_received3,validity3,lead_time3,quote_notes3,qty5,quote_ui3,up4,ep4,source4,part_no5,nomenclature4,date_received4,validity4,lead_time4,quote_notes4,qty6,quote_ui4,up5,ep5,source5,part_no6,nomenclature5,date_received5,validity6,lead_time5,quote_notes5,qty7,quote_ui5,up6,ep6,source6,part_no7,nomenclature6,date_received6,validity7,lead_time6,quote_notes6,qty8,quote_ui6,up7,ep7,quotes_received2,selected_source,selected_part_no,selected_nomenclature,selected_qty,quoted_ui,lowest_up,lowest_ep,quote_notes7,lowest_count,tech_edit_id,pa_submission_date,analyst_pa_remarks,reqnum,awarded_source,awarded_part_no,awarded_nomenclature,awarded_qty,awarded_unit_of_issue,awarded_up,awared_ep,pri_change_2,purchasing_analyst2,purchased_vendor,purchased_part_no,purchased_nomenclature,purchased_qty,purchased_unit_of_issue,up8,ep8,diff_up,diff_ep,do_folder,jin,order_date,reqnum_rb,award_date,order_id,suffix,order_ln_no,edd_to_ches,rec_vse_dt,lot_id,triwall,status,shipdoc_tcn,vse_ship_no,booking,vessel,container,sail_dt,edd_to_egypt,egypt_lsc_arr_dt,analyst_remarks,source_name12,unnamed_161,ERRORS,original_line
MR10526-EG-1035,nan,MR10526-EG,1035,901-2818,K19MUHH0143,Oil pump,9B,4320,10891683,5104912,1.0,EA,1982.62,1982.62,DSRA 2019,2019-01-31,2019-04-30,5.0,901-31121-001,901,PC Industried Power Line Components,nan,667780010E,"GENERATOR SET, SHIP SERVICE DIESEL",nan,nan,S9311-B9-MMO-030,2-2-46,RB16157-21,nan,nan,nan,nan,nan,nan,1.0,nan,0,SPM,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,Error,nan,nan,nan,nan,Error,Error,nan,4.0,Tech Edit: 897,nan,nan,nan,PC Industried Power Line Components,nan,nan,1.0,nan,1982.62,1982.62,5.0,nan,nan,nan,nan,1.0,nan,nan,0.0,-1982.62,-1982.62,nan,980FFG821,NaT,nan,nan,TBTTA,nan,nan,nan,nan,nan,nan,NOT ORDERED-TRANSFER TO AMENTUM FOR ORDER,nan,nan,nan,nan,nan,nan,nan,nan,"02/17/22- JML: Sent PUR-102 to Randy at PC industries, awaiting response
02/17/22- JML: Randy responded that the quote was to rebuild the current pumps. They do not have any rebuildable pumps 
05/31/22 - IDM: RFQs sent to Diesel Pro Power, Aero Base Group, ASAP Aero Supplies, Stewart and Stevenson, and Penn Power Group due to PC Industried Power Line Components requesting to send the pump in to install part the requested part themselves
5/16/23 - SPM vendor wont sell pump without us giving them the core, keith is assisting. Supplier are not selling the pump unless we give them the core, are there alternative solutions?6/27/23 - SPM - I asked how much the entire core is this was his reply..

""$1982.62 plus any core charges. $1800.00 is the maximum core charge.""
9/8 - SPM per vendor ""This item is Obsolete from the DDC factory. Because of this we are not allowed to sell any of these remanufactured pumps without first receiving the old oil pump.""",ETC - NEW_FFG MRL Rev 1_v1.xlsx,nan,None,2
MR10526-EG-1036,nan,MR10526-EG,1036,901-2854,K19MUHH1060,Oil pump,9B,4320,10891683,5104912,1.0,EA,1982.62,1982.62,DSRA 2019,2019-02-04,2019-04-30,5.0,901-31124-001,901,PC Industried Power Line Components,nan,667780010E,"GENERATOR SET, SHIP SERVICE DIESEL",nan,nan,S9311-B9-MMO-030,2-2-46,RB16157-21,nan,nan,nan,nan,nan,nan,1.0,nan,0,SPM,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,Error,nan,nan,nan,nan,Error,Error,nan,4.0,Tech Edit: 1133,nan,nan,nan,PC Industried Power Line Components,nan,nan,1.0,nan,1982.62,1982.62,5.0,nan,nan,nan,nan,1.0,nan,nan,0.0,-1982.62,-1982.62,nan,980FFG822,NaT,nan,nan,TBTTA,nan,nan,nan,nan,nan,nan,NOT ORDERED-TRANSFER TO AMENTUM FOR ORDER,nan,nan,nan,nan,nan,nan,nan,nan,"02/17/22- JML: Sent PUR-102 to Randy at PC industries, awaiting response
02/17/22- JML: Randy responded that the quote was to rebuild the current pumps. They do not have any rebuildable pumps 
05/31/22 - IDM: RFQs sent to Diesel Pro Power, Aero Base Group, ASAP Aero Supplies, Stewart and Stevenson, and Penn Power Group due to PC Industried Power Line Components requesting to send the pump in to install part the requested part themselves
5/16/23 - SPM vendor wont sell pump without us giving them the core, keith is assisting. Supplier are not selling the pump unless we give them the core, are there alternative solutions?6/27/23 - SPM - I asked how much the entire core is this was his reply..

""$1982.62 plus any core charges. $1800.00 is the maximum core charge.""
9/8 - SPM per vendor ""This item is Obsolete from the DDC factory. Because of this we are not allowed to sell any of these remanufactured pumps without first receiving the old oil pump.""",ETC - NEW_FFG MRL Rev 1_v1.xlsx,nan,None,3
MR10526-EG-1976,nan,MR10526-EG,1976,901-4015,K19ABB4833,"clamp 8"" steel",nan,nan,nan,MB9446-5250-V-850,3.0,EA,132.19,396.57,Emergent 2019,2019-11-26,2020-01-30,1.0,901-31121-005,901,GSS,1,nan,"GENERATOR SET, SHIP SERVICE DIESEL - NO. 1",nan,nan,S9311-B9-MMO-030,2-2-33-5,RB16123-21,nan,nan,nan,nan,nan,nan,nan,nan,0,MSL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,Error,nan,nan,nan,nan,Error,Error,nan,4.0,TBD,nan,nan,nan,GSS,000000000,nan,3.0,nan,132.19,396.57,1.0,nan,nan,nan,nan,nan,nan,nan,0.0,-132.19,-396.57,nan,980FFG1371,2022-04-01,TECH EDIT 1503,nan,TBTTA,nan,nan,nan,nan,nan,nan,NOT ORDERED-TRANSFER TO AMENTUM FOR ORDER,nan,nan,nan,nan,nan,nan,nan,nan,"04/01/22- JML: This item is not a GSS item. There was no recorded quote from the original MRL and this will need to be re-sourced. It is an Eaton item. 
07/10/23- JML: Sent RFQ to Mike @ Detroit flex defense and spoke to GEIB Idust. and provided P/N over phone. 
07/10/23- JML: Mike responded requesting more info and provided Tech Manual exceprt for the part list and drawing. ",ETC - NEW_FFG MRL Rev 1_v1.xlsx,nan,None,4
MR40001-EG-377,nan,MR40001-EG,377,901-2720,K20MTGH2506,"SYNCHRO,RECEIVER-TRANSMITTER",9B,5990,011145095,VTRX23-6G3,2.0,EA,"$5,629.03","$11,258.06",DSRA,NaT,NaT,1.0,901-23711-001,901,"AXSYS TECHNOLOGIES, INC. DBA",10112,nan,"PROPULSION DEVICES, AUXILIARY",nan,nan,nan,nan,nan,N,5990011145095.0,0.0,J,45412.0,LT: 94,2.0,5516.61,"$11,033.22",JML/James,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,Error,Error,Error,Error,Error,Error,Error,Error,4.0,TBD,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,James,DLA,5990011145095,"SYNCHRO,RECEIVER-TRANSMITTER",2.0,EA,5516.61,11033.22,5516.61,11033.22,5013FMC-271,nan,NaT,CANX,nan,CANX,nan,nan,nan,nan,nan,nan,NOT ORDERED-TRANSFER TO AMENTUM FOR ORDER,nan,nan,nan,nan,nan,nan,nan,nan,"09/17/24- JML: CBJBGSS5013FMC-271; Q9672141213020 is being CANX'd because ti will not be processed by 10/31/24
Sent item to James for FEDMALL pricing and availability. ",FMC Additional Material - 22F5013.xlsb,nan,nsn: 5990011145095.0,5
MR20169-EG-51,Local Purchase,MR20169-EG,51,FMC-2023,K23JUFMC0051,"THERMOCOUPLE,IMMERSION",9B,6685,016644902,5N-2126,14.0,EA,11.19,156.66,nan,2023-01-15,2023-02-15,nan,nan,nan,Mantrac Caterpillar Distributor,10769,NIC,SHIP SERVICE POWER GENERATION #311,3512B,AAG00295,nan,nan,nan,nan,6685016644902.0,nan,nan,nan,nan,nan,0.0,0,nan,Carter Machinery,5N-2126,nan,44931.0,nan,nan,nan,14.0,EA,9.71,135.94,USR Parts,245-3512,nan,44966.0,30 DAYS,20 DAYS,nan,1.0,EA,33.87,33.87,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,2.0,USR Parts,245-3512,nan,2,EA,361.01,33.87,0,2.0,TBD,nan,nan,RP18854-23,USR Parts,245-3512,nan,14.0,EA,33.87,474.17999999999995,nan,SPM,USR Parts,nan,nan,nan,nan,nan,0.0,-33.87,-474.17999999999995,0,K23JUFMC0051,NaT,nan,nan,TTA,nan,nan,nan,nan,nan,nan,NOT ORDERED-TRANSFER TO AMENTUM FOR ORDER,nan,nan,nan,nan,nan,nan,nan,nan,1/25/24 - SPM can find these parts on parts.cat.com,Purchasing 23F5000 MRL (Final 041123).xlsb,nan,nsn: 6685016644902.0,6
MR20169-EG-55,Local Purchase,MR20169-EG,55,FMC-2023,K23JUFMC0055,GASKET-ACCES,-,open,purchase,CM973911,1.0,EA,5.41,5.41,nan,2023-01-15,2023-02-15,nan,nan,nan,Mantrac Caterpillar Distributor,10773,NIC,SHIP SERVICE POWER GENERATION #307,3512B,AAG00291,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,DISTRIBUTION INTERNATIONAL ,GASKETDN25,nan,367.0,nan,nan,nan,1.0,EA,22.06,22.06,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,Distribution International,GASKETDN25,nan,2,EA,9.43,22.06,0,3.0,Tech Edit: 448,nan,nan,RP18855-23,Distribution International,GASKETDN25,nan,1.0,EA,22.06,22.06,nan,SPM,Distribution International,nan,nan,nan,nan,nan,0.0,-22.06,-22.06,0,K23JUFMC0055,NaT,nan,nan,TTA,nan,nan,nan,nan,nan,nan,NOT ORDERED-TRANSFER TO AMENTUM FOR ORDER,nan,nan,nan,nan,nan,nan,nan,nan,"8/8 - SPM sent price validation to Tina Byrd <t.byrd@distributionintl.com>
08/21/23- JML: These are all caterpillar parts and will be sent to Cleve @ Carter Machinary
12/7/23 - SPM quote located here 
https://vsecorp.sharepoint.com/sites/LogisticsSupplyChain/Shared%20Documents/Logistics/Logistics/23-F-5000/Phase%201%20Quotes/DISTRIBUTION%20INTERNATIONAL/MR20170-EG-100_148_50_75_99_DISTRIBUTION%20INTERNATIONAL_GASKET.pdf?CT=1701979414600&OR=ItemsView",Purchasing 23F5000 MRL (Final 041123).xlsb,nan,None,7
MR20169-EG-60,Local Purchase,MR20169-EG,60,FMC-2023,K23JUFMC0060,KEY,-,open,purchase,CA188706,1.0,EA,0.9,0.9,nan,2023-01-15,2023-02-15,nan,nan,nan,Mantrac Caterpillar Distributor,10778,NIC,SHIP SERVICE POWER GENERATION #302,3512B,AAG00286,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,nan,parts.cat.com,1B-8706,nan,44937.0,nan,nan,nan,1.0,EA,1.51,1.51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,parts.cat.com,1B-8706,nan,1,EA,2.19,1.51,0,3.0,Tech Edit: 449,nan,nan,RP18855-23,Parts.cat.com,1B-8706,nan,1.0,EA,1.51,1.51,nan,SPM,Parts.cat.com,nan,nan,nan,nan,nan,0.0,-1.51,-1.51,0,K23JUFMC0060,NaT,nan,nan,TTA,nan,nan,nan,nan,nan,nan,NOT ORDERED-TRANSFER TO AMENTUM FOR ORDER,nan,nan,nan,nan,nan,nan,nan,nan,"08/21/23- JML: These are all caterpillar parts and will be sent to Cleve @ Carter Machinary
1/24/24 - SPM found at another site https://aftermarket.express/caterpillar/1b8706",Purchasing 23F5000 MRL (Final 041123).xlsb,nan,None,8
MR20169-EG-66,Local Purchase,MR20169-EG,66,FMC-2023,K23JUFMC0066,ARM A ROCKER,-,open,purchase,CA0R1620,2.0,EA,165.57,331.14,nan,2023-01-15,2023-02-15,nan,nan,nan,Mantrac Caterpillar Distributor,10784,NIC,SHIP SERVICE POWER GENERATION #296,3512B,AAG00280,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,nan,Carter Machinery,0R-1620,nan,44931.0,nan,nan,nan,2.0,EA,259.51,519.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,USR Parts,0R1620,nan,nan,nan,20 DAYS,nan,2.0,EA,212.35,424.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,2.0,USR Parts,0R1620,nan,4,EA,247.06,424.7,0,2.0,TBD,nan,nan,RP18856-23,USR Parts,0R1620,nan,2.0,EA,212.35,424.7,nan,SPM,USR Parts,nan,nan,nan,nan,nan,0.0,-212.35,-424.7,0,K23JUFMC0066,NaT,nan,nan,TTA,nan,nan,nan,nan,nan,nan,NOT ORDERED-TRANSFER TO AMENTUM FOR ORDER,nan,nan,nan,nan,nan,nan,nan,nan,1/24/24 - SPM found at another site https://aftermarket.express/caterpillar/0r1620,Purchasing 23F5000 MRL (Final 041123).xlsb,nan,None,9
MR20169-EG-104,Local Purchase,MR20169-EG,104,FMC-2023,K23JUFMC0104,"SWITCH,PRESSURE",9B,5930,015073022,207-6132,1.0,EA,331.65,331.65,nan,2023-01-15,2023-02-15,nan,nan,nan,Mantrac Caterpillar Distributor,10822,NIC,SHIP SERVICE POWER GENERATION #258,3512B,AAG00242,nan,nan,nan,nan,5930015073022.0,nan,nan,nan,nan,nan,0.0,0,nan,Carter Machinery,207-6132,nan,44931.0,nan,nan,nan,1.0,EA,563.43,563.43,Bay Diesel,nan,nan,nan,nan,nan,nan,1.0,EA,619.773,619.773,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,2.0,Carter Machinery,207-6132,nan,2,EA,86.93,563.43,0,2.0,TBD,nan,nan,RP18855-23,Carter Machinery,207-6132,nan,1.0,EA,563.43,563.43,nan,JML,nan,3T3727,nan,nan,nan,125.82,0.0,-437.60999999999996,-563.43,0,K23JUFMC0104,NaT,TECH EDIT 1883,nan,TTA,nan,nan,nan,nan,nan,nan,NOT ORDERED-TRANSFER TO AMENTUM FOR ORDER,nan,nan,nan,nan,nan,nan,nan,nan,"08/08/23- JML: Sent pricing validation to Cleve @ Carter Machinery
10/04/23- JML: Erica responded to RFQ this item is obsolete with no replacement. 
04/03/24- JML: TE REPLY- Purchase from Blanchard Machinery.
04/12/24- JML: Contacted Blanchard for follow up and they should email back today with avaliability and quote if available. ",Purchasing 23F5000 MRL (Final 041123).xlsb,nan,nsn: 5930015073022.0,10
MR20169-EG-105,Local Purchase,MR20169-EG,105,FMC-2023,K23JUFMC0105,Turbo charger,-,open,purchase,2W-9580,2.0,AY,0,0,nan,2023-01-15,2023-02-15,nan,nan,nan,Mantrac Caterpillar Distributor,10823,NIC,SHIP SERVICE POWER GENERATION #257,3512B,AAG00241,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,Parts.cat.com,205-6741,nan,2558.0,nan,nan,nan,2.0,AY,2739.16,5478.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,Parts.cat.com,205-6741,nan,1,EA,563.43,5478.32,0,3.0,Tech Edit: 450,nan,nan,RP18855-23,Parts.cat.com,205-6741,nan,2.0,AY,2739.16,5478.32,nan,SPM,Parts.cat.com,nan,nan,nan,nan,nan,0.0,-2739.16,-5478.32,0,K23JUFMC0105,NaT,nan,nan,TTA,nan,nan,nan,nan,nan,nan,NOT ORDERED-TRANSFER TO AMENTUM FOR ORDER,nan,nan,nan,nan,nan,nan,nan,nan,"08/21/23- JML: These are all caterpillar parts and will be sent to Cleve @ Carter Machinary
https://aftermarket.express/caterpillar/2056741",Purchasing 23F5000 MRL (Final 041123).xlsb,nan,None,11
